root@comp3134-Winter2024:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
02:13:03.473950 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 1909272644:1909272752, ack 3369871162, win 501, options [nop,nop,TS val 2951843906 ecr 1725862439], length 108
02:13:03.889766 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18068:18104, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 36
02:13:03.889834 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18104:18316, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 212
02:13:03.889889 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18316:18352, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 36
02:13:03.889960 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18352:18564, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 212
02:13:03.890011 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18564:18600, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 36
02:13:03.890082 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18600:18812, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 212
02:13:03.890124 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18812:18848, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 36
02:13:03.890202 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 18848:19060, ack 37, win 501, options [nop,nop,TS val 2951844322 ecr 1725862757], length 212
02:13:03.890247 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 19060:19096, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 36
02:13:03.890312 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 19096:19308, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 212
02:13:03.890366 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 19308:19344, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 36
02:13:03.890446 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 19344:19556, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 212
02:13:03.890552 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 19556:19944, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 388
02:13:03.890658 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 19944:20332, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 388
02:13:03.890798 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 20332:20896, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 564
02:13:03.890891 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 20896:21284, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 388
02:13:03.890991 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 21284:21848, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 564
02:13:03.891098 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 21848:22236, ack 37, win 501, options [nop,nop,TS val 2951844323 ecr 1725862757], length 388
02:13:03.891381 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 22236:23512, ack 37, win 501, options [nop,nop,TS val 2951844324 ecr 1725862757], length 1276
02:13:03.891525 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 23512:24380, ack 37, win 501, options [nop,nop,TS val 2951844324 ecr 1725862757], length 868
02:13:03.891605 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 24380:24576, ack 37, win 501, options [nop,nop,TS val 2951844324 ecr 1725862757], length 196
02:13:03.891930 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 14596, win 19114, options [nop,nop,TS val 1725862860 ecr 2951844319], length 0
02:13:03.892889 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 18812, win 19086, options [nop,nop,TS val 1725862861 ecr 2951844322], length 0
02:13:03.892890 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 18848, win 19086, options [nop,nop,TS val 1725862861 ecr 2951844322], length 0
02:13:03.892890 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 18848, win 19152, options [nop,nop,TS val 1725862861 ecr 2951844322], length 0
02:13:03.896895 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 24576, win 19152, options [nop,nop,TS val 1725862865 ecr 2951844324], length 0
02:13:03.989553 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 24576:24788, ack 37, win 501, options [nop,nop,TS val 2951844422 ecr 1725862865], length 212
02:13:03.989748 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 24788:25360, ack 37, win 501, options [nop,nop,TS val 2951844422 ecr 1725862865], length 572
02:13:03.989905 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 25360:26284, ack 37, win 501, options [nop,nop,TS val 2951844422 ecr 1725862865], length 924
02:13:03.990031 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 26284:26856, ack 37, win 501, options [nop,nop,TS val 2951844422 ecr 1725862865], length 572
02:13:03.990136 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 26856:27428, ack 37, win 501, options [nop,nop,TS val 2951844422 ecr 1725862865], length 572
02:13:03.990286 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 27428:28220, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 792
02:13:03.990391 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 28220:28784, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 564
02:13:03.990494 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 28784:29356, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 572
02:13:03.990578 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 29356:29568, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 212
02:13:03.990690 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 29568:29964, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 396
02:13:03.990793 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 29964:30536, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 572
02:13:03.990862 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 30536:30932, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 396
02:13:03.990938 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 30932:31144, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 212
02:13:03.991212 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 31144:31716, ack 37, win 501, options [nop,nop,TS val 2951844423 ecr 1725862865], length 572
02:13:03.991720 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 31716:34952, ack 37, win 501, options [nop,nop,TS val 2951844424 ecr 1725862865], length 3236
02:13:03.991894 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 34952:36060, ack 37, win 501, options [nop,nop,TS val 2951844424 ecr 1725862865], length 1108
02:13:03.992059 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 36060:36632, ack 37, win 501, options [nop,nop,TS val 2951844424 ecr 1725862865], length 572
02:13:03.992167 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 36632:37360, ack 37, win 501, options [nop,nop,TS val 2951844424 ecr 1725862865], length 728
02:13:03.992231 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 37360:37564, ack 37, win 501, options [nop,nop,TS val 2951844425 ecr 1725862865], length 204
02:13:03.995319 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 36632, win 18964, options [nop,nop,TS val 1725862964 ecr 2951844424], length 0
02:13:03.995319 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 36632, win 19152, options [nop,nop,TS val 1725862964 ecr 2951844424], length 0
02:13:03.995319 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 37564, win 19137, options [nop,nop,TS val 1725862964 ecr 2951844425], length 0
02:13:04.093572 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 37564:37776, ack 37, win 501, options [nop,nop,TS val 2951844526 ecr 1725862964], length 212
02:13:04.093758 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 37776:37988, ack 37, win 501, options [nop,nop,TS val 2951844526 ecr 1725862964], length 212
02:13:04.093916 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 37988:38736, ack 37, win 501, options [nop,nop,TS val 2951844526 ecr 1725862964], length 748
02:13:04.094078 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 38736:39308, ack 37, win 501, options [nop,nop,TS val 2951844526 ecr 1725862964], length 572
02:13:04.094202 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 39308:39520, ack 37, win 501, options [nop,nop,TS val 2951844526 ecr 1725862964], length 212
02:13:04.094309 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 39520:40092, ack 37, win 501, options [nop,nop,TS val 2951844527 ecr 1725862964], length 572
02:13:04.094424 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 40092:40664, ack 37, win 501, options [nop,nop,TS val 2951844527 ecr 1725862964], length 572
02:13:04.094554 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 40664:41236, ack 37, win 501, options [nop,nop,TS val 2951844527 ecr 1725862964], length 572
02:13:04.094674 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 41236:41768, ack 37, win 501, options [nop,nop,TS val 2951844527 ecr 1725862964], length 532
02:13:04.100132 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 41768, win 19086, options [nop,nop,TS val 1725863069 ecr 2951844527], length 0
02:13:04.100132 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 41768, win 19152, options [nop,nop,TS val 1725863069 ecr 2951844527], length 0
02:13:04.197533 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 41768:41980, ack 37, win 501, options [nop,nop,TS val 2951844630 ecr 1725863069], length 212
02:13:04.197713 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 41980:42728, ack 37, win 501, options [nop,nop,TS val 2951844630 ecr 1725863069], length 748
02:13:04.197952 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 42728:43804, ack 37, win 501, options [nop,nop,TS val 2951844630 ecr 1725863069], length 1076
02:13:04.201510 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 42728, win 19137, options [nop,nop,TS val 1725863170 ecr 2951844630], length 0
02:13:04.202093 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 43804, win 19152, options [nop,nop,TS val 1725863170 ecr 2951844630], length 0
02:13:04.301558 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 43804:44016, ack 37, win 501, options [nop,nop,TS val 2951844734 ecr 1725863170], length 212
02:13:04.301754 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 44016:44740, ack 37, win 501, options [nop,nop,TS val 2951844734 ecr 1725863170], length 724
02:13:04.306210 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 44740, win 19152, options [nop,nop,TS val 1725863274 ecr 2951844734], length 0
02:13:04.406472 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 44740:44952, ack 37, win 501, options [nop,nop,TS val 2951844839 ecr 1725863274], length 212
02:13:04.406629 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 44952:45332, ack 37, win 501, options [nop,nop,TS val 2951844839 ecr 1725863274], length 380
02:13:04.419860 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 45332, win 19152, options [nop,nop,TS val 1725863379 ecr 2951844839], length 0
02:13:04.509579 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 45332:45544, ack 37, win 501, options [nop,nop,TS val 2951844942 ecr 1725863379], length 212
02:13:04.509762 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 45544:45924, ack 37, win 501, options [nop,nop,TS val 2951844942 ecr 1725863379], length 380
02:13:04.514753 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 45924, win 19152, options [nop,nop,TS val 1725863483 ecr 2951844942], length 0
02:13:04.613589 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 45924:46136, ack 37, win 501, options [nop,nop,TS val 2951845046 ecr 1725863483], length 212
02:13:04.613744 IP comp3134-Winter2024.ssh > 141.117.117.234.13056: Flags [P.], seq 46136:46516, ack 37, win 501, options [nop,nop,TS val 2951845046 ecr 1725863483], length 380
02:13:04.617390 IP 141.117.117.234.13056 > comp3134-Winter2024.ssh: Flags [.], ack 46516, win 19152, options [nop,nop,TS val 1725863586 ecr 2951845046], length 0
^Z
[10]+  Stopped                 tcpdump -i eth0 port 22

